Title,Current Price,Old Price,Diff,url
"Monitor Gigabyte M27Q Gaming IPS 27"" QHD 16:9 170Hz FreeSync","354,90",,,https://www.pcdiga.com/monitor-gigabyte-m27q-gaming-ips-27-qhd-16-9-170hz-freesync
"Monitor LG 27GN750-B IPS 27"" FHD 16:9 240Hz FreeSync / G-SYNC Compatible","359,90","379,90","
        -20     ",https://www.pcdiga.com//monitor-lg-27-27gn750-b-ips-fhd-240hz-g-sync
"Monitor LG 32UN500-W VA 31.5"" 4K UHD 16:9 75Hz FreeSync","364,90","379,90","
        -15     ",https://www.pcdiga.com/monitor-lg-32un500-w-va-31-5-4k-uhd-16-9-75hz-freesync
"Monitor Dell Alienware AW2521HF IPS 24.5"" FHD 16:9 240Hz FreeSync / G-SYNC Compatible","369,90","399,90","
        -30     ",https://www.pcdiga.com/monitor-dell-alienware-aw2521hf-ips-24-5-fhd-16-9-240hz-freesync-g-sync-compatible
"Monitor Asus TUF Gaming VG279QM IPS 27"" FHD 280Hz FreeSync / G-SYNC Compatible","374,90","429,00","
        -54     ",https://www.pcdiga.com//monitor-asus-tuf-gaming-vg279qm-ips-27-fhd-16-9-280hz-g-sync-compatible
"Monitor Dell P2720DC IPS 27"" QHD 16:9 60Hz","379,90",,,https://www.pcdiga.com/monitor-dell-p2720dc-ips-27-qhd-16-9-60hz
"Monitor BenQ Designer PD3200Q VA 32"" QHD 16:9 60Hz","389,90","449,90","
        -60     ",https://www.pcdiga.com/monitor-benq-designer-pd3200q-va-32-qhd-16-9-60hz
"Monitor Curvo BenQ EX3200R VA 31.5"" FHD 16:9 144Hz FreeSync","397,90",,,https://www.pcdiga.com/monitor-curvo-benq-ex3200r-va-31-5-fhd-16-9-144hz-freesync
"Monitor Curvo BenQ EX3200R VA 31.5"" FHD 16:9 144Hz FreeSync","397,90",,,https://www.pcdiga.com/monitor-curvo-benq-ex3200r-va-31-5-fhd-16-9-144hz-freesync
"Monitor LG 27UK670-B IPS 27"" 4K UHD 16:9 60Hz FreeSync","399,90","424,90","
        -25     ",https://www.pcdiga.com/monitor-lg-27uk670-b-ips-27-4k-uhd-16-9-60hz-freesync
"Monitor Curvo MSI Optix MAG321CURV VA 31.5"" 4K UHD 16:9 60Hz FreeSync","429,90","549,90","
        -120     ",https://www.pcdiga.com/monitor-curvo-msi-optix-mag321curv-va-31-5-4k-uhd-16-9-60hz-freesync
"Monitor Dell UltraSharp U2719DC IPS 27"" QHD 16:9 60Hz","434,90","499,90","
        -65     ",https://www.pcdiga.com/monitor-dell-ultrasharp-u2719dc-ips-27-qhd-16-9-60hz
"Monitor Curvo AOC CU34G2 VA 34"" UWQHD 21:9 100Hz FreeSync","439,90","519,90","
        -80     ",https://www.pcdiga.com/monitor-curvo-aoc-cu34g2-va-34-uwqhd-21-9-100hz-freesync
"Monitor BenQ SW240 IPS 24.1"" FHD 16:10 60Hz","439,90","449,90","
        -10     ",https://www.pcdiga.com/monitor-benq-sw240-ips-24-1-fhd-16-10-60hz
"Monitor Curvo Asus TUF Gaming VG32VQ1B VA 31.5"" QHD 16:9 165Hz FreeSync","449,90",,,https://www.pcdiga.com/monitor-curvo-asus-rog-tuf-gaming-vg32vq1b-va-31-5-qhd-16-9-165hz-freesync
"Monitor Dell Alienware AW2720HF IPS 27"" FHD 16:9 240Hz FreeSync","449,90","499,90","
        -50     ",https://www.pcdiga.com/monitor-dell-alienware-aw2720hf-ips-27-fhd-16-9-240hz-freesync
"Monitor BenQ EX2780Q IPS 27"" QHD 16:9 144Hz FreeSync","489,90","504,00","
        -14     ",https://www.pcdiga.com/monitor-benq-ex2780q-ips-27-qhd-16-9-144hz-freesync
"Monitor Curvo LG 34WN80C-B IPS 34"" QHD 21:9 60Hz","499,90","599,90","
        -100     ",https://www.pcdiga.com//monitor-curvo-lg-34wn80c-b-ips-34-qhd-21-9-60hz-freesync
"Monitor Dell S2716DG TN 27"" QHD 16:9 144Hz G-SYNC","499,90","649,90","
        -150     ",https://www.pcdiga.com/monitor-dell-27-qhd-s2716dg-144hz-g-sync-0y44m5
"Monitor BenQ EW2780U IPS 27"" 4K UHD 16:9 60Hz FreeSync","529,90",,,https://www.pcdiga.com//monitor-benq-ew2780u-ips-27-4k
"Monitor Curvo LG 35WN75C-B VA 35"" UWQHD 21:9 100Hz FreeSync","534,90","544,90","
        -10     ",https://www.pcdiga.com/monitor-curvo-lg-35wn75c-b-va-35-uwqhd-21-9-100hz-freesync
"Monitor BenQ Zowie XL2740 TN 27"" FHD 16:9 240Hz","549,90","594,90","
        -45     ",https://www.pcdiga.com/monitor-benq-zowie-xl2740-tn-27-fhd-16-9-240hz
"Monitor Curvo AOC CU34G2X VA 34"" UWQHD 21:9 144Hz FreeSync","559,90","689,90","
        -130     ",https://www.pcdiga.com/monitor-curvo-aoc-cu34g2x-va-34-uwqhd-21-9-144hz-freesync
"Monitor Curvo Samsung J791 VA 34"" UWQHD 21:9 100Hz FreeSync","599,90","679,90","
        -80     ",https://www.pcdiga.com/monitor-curvo-samsung-j791-va-34-uwqhd-21-9-100hz-freesync
"Monitor Curvo Samsung Odyssey G7 QLED VA 27"" QHD 16:9 240Hz FreeSync / G-SYNC Compatible","634,90",,,https://www.pcdiga.com/monitor-curvo-samsung-odyssey-g7-qled-va-27-qhd-16-9-240hz-freesync-g-sync-compatible
"Monitor AOC AG273QZ TN 27"" QHD 16:9 240Hz FreeSync","649,90","699,90","
        -50     ",https://www.pcdiga.com/monitor-aoc-ag273qz-tn-27-qhd-16-9-240hz-freesync
"Monitor Curvo BenQ EX3501R VA 35"" UWQHD 21:9 100Hz FreeSync","689,90","704,90","
        -15     ",https://www.pcdiga.com/monitor-curvo-benq-ex3501r-va-35-uwqhd-21-9-100hz-freesync
"Monitor Asus ROG SWIFT PG259QN IPS 24.5"" FHD 16:9 360Hz G-SYNC","699,90","759,90","
        -60     ",https://www.pcdiga.com/monitor-asus-rog-swift-pg259qn-ips-24-5-fhd-16-9-360hz-g-sync
"Monitor BenQ SW2700PT IPS 27"" QHD 16:9 60Hz","699,90",,,https://www.pcdiga.com/monitor-benq-sw2700pt-ips-27-qhd-16-9-60hz
"Monitor Curvo Samsung Odyssey G7 QLED VA 32"" QHD 16:9 240Hz FreeSync / G-SYNC Compatible","729,90",,,https://www.pcdiga.com/monitor-curvo-samsung-odyssey-g7-qled-va-32-qhd-16-9-240hz-freesync-g-sync-compatible
"Monitor LG 34WL850-W IPS 34"" UWQHD 21:9 60Hz FreeSync","784,90",,,https://www.pcdiga.com/monitor-lg-34wl850-w-ips-34-uwqhd-21-9-60hz-freesync
"Monitor Curvo Dell UltraSharp U3419W IPS 34"" UWQHD 21:9 60Hz","799,90","999,90","
        -200     ",https://www.pcdiga.com/monitor-curvo-dell-ultrasharp-u3419w-ips-34-uwqhd-21-9-60hz
"Monitor BenQ SW271 IPS 27"" 4K UHD 16:9 60Hz","1099,90",,,https://www.pcdiga.com/monitor-benq-sw271-ips-27-4k-uhd-16-9-60hz
"Monitor BenQ DesignVue PD3220U IPS 31.5"" 4K UHD 16:9 60Hz","1189,90","1209,00","
        -19     ",https://www.pcdiga.com//monitor-benq-designvue-pd3220u-ips-4k-uhd-16-9-60hz
"Monitor BenQ SW320 IPS 31.5"" 4K UHD 16:9 60Hz","1439,90",,,https://www.pcdiga.com/monitor-benq-sw320-ips-31-5-4k-uhd-16-9-60hz
